feature,importance
feature_10,0.22294845831363694
feature_7,0.17828332187806134
feature_6,0.16045559388779715
feature_3,0.12365578892345266
feature_13,0.06233966463986226
feature_5,0.056333780727230685
feature_9,0.049950959211150246
feature_0,0.027366777259381074
feature_4,0.024383747691614957
feature_8,0.022163427353739093
feature_2,0.0146469906030872
feature_12,0.011511007659460138
feature_15,0.009742921103828064
feature_18,0.008399076942488634
feature_14,0.007393015978261415
feature_16,0.007034204358302377
feature_1,0.006570263738166991
feature_17,0.0061192463484744065
feature_11,0.0007017533820042674
